gene,node_type,source
AN6363,Kinase,De Souza et al. 2013 PLoS One
AN6758,Kinase,De Souza et al. 2013 PLoS One
AN6768,Kinase,De Souza et al. 2013 PLoS One
AN6820,Kinase,De Souza et al. 2013 PLoS One
AN6975,Kinase,De Souza et al. 2013 PLoS One
AN7321,Kinase,De Souza et al. 2013 PLoS One
AN7945,Kinase,De Souza et al. 2013 PLoS One
AN7986,Kinase,De Souza et al. 2013 PLoS One
AN8830,Kinase,De Souza et al. 2013 PLoS One
AN9008,Kinase,De Souza et al. 2013 PLoS One
AN9048,Kinase,De Souza et al. 2013 PLoS One
AN9302,Kinase,De Souza et al. 2013 PLoS One
AN9461,Kinase,De Souza et al. 2013 PLoS One
AN0026,Transcription factor,Extebeste et al. 2021
AN0094,Transcription factor,Extebeste et al. 2021
AN0096,Transcription factor,Extebeste et al. 2021
AN0098,Transcription factor,Extebeste et al. 2021
AN0148,Transcription factor,Extebeste et al. 2021
AN0162,Transcription factor,Extebeste et al. 2021
AN0176,Transcription factor,Extebeste et al. 2021
AN0197,Transcription factor,Extebeste et al. 2021
AN0202,Transcription factor,Extebeste et al. 2021
AN0223,Transcription factor,Extebeste et al. 2021
AN0273,Transcription factor,Extebeste et al. 2021
AN0274,Transcription factor,Extebeste et al. 2021
AN0279,Transcription factor,Extebeste et al. 2021
AN0333,Transcription factor,Extebeste et al. 2021
AN0363,Transcription factor,Extebeste et al. 2021
AN0364,Transcription factor,Extebeste et al. 2021
AN0388,Transcription factor,Extebeste et al. 2021
AN0396,Transcription factor,Extebeste et al. 2021
AN0422,Transcription factor,Extebeste et al. 2021
AN0486,Transcription factor,Extebeste et al. 2021
AN0507,Transcription factor,Extebeste et al. 2021
AN0533,Transcription factor,Extebeste et al. 2021
AN0568,Transcription factor,Extebeste et al. 2021
AN0569,Transcription factor,Extebeste et al. 2021
AN0578,Transcription factor,Extebeste et al. 2021
AN0585,Transcription factor,Extebeste et al. 2021
AN0619,Transcription factor,Extebeste et al. 2021
AN0644,Transcription factor,Extebeste et al. 2021
AN0658,Transcription factor,Extebeste et al. 2021
AN0671,Transcription factor,Extebeste et al. 2021
AN0680,Transcription factor,Extebeste et al. 2021
AN0689,Transcription factor,Extebeste et al. 2021
AN0709,Transcription factor,Extebeste et al. 2021
AN0714,Transcription factor,Extebeste et al. 2021
AN0718,Transcription factor,Extebeste et al. 2021
AN0738,Transcription factor,Extebeste et al. 2021
AN0742,Transcription factor,Extebeste et al. 2021
AN0766,Transcription factor,Extebeste et al. 2021
AN0817,Transcription factor,Extebeste et al. 2021
AN0825,Transcription factor,Extebeste et al. 2021
AN0835,Transcription factor,Extebeste et al. 2021
AN0853,Transcription factor,Extebeste et al. 2021
AN0863,Transcription factor,Extebeste et al. 2021
AN0885,Transcription factor,Extebeste et al. 2021
AN0891,Transcription factor,Extebeste et al. 2021
AN0902,Transcription factor,Extebeste et al. 2021
AN0928,Transcription factor,Extebeste et al. 2021
AN0937,Transcription factor,Extebeste et al. 2021
AN0973,Transcription factor,Extebeste et al. 2021
AN10059,Transcription factor,Extebeste et al. 2021
AN10068,Transcription factor,Extebeste et al. 2021
AN10083,Transcription factor,Extebeste et al. 2021
AN10105,Transcription factor,Extebeste et al. 2021
AN10120,Transcription factor,Extebeste et al. 2021
AN10128,Transcription factor,Extebeste et al. 2021
AN10132,Transcription factor,Extebeste et al. 2021
AN10192,Transcription factor,Extebeste et al. 2021
AN10262,Transcription factor,Extebeste et al. 2021
AN1028,Transcription factor,Extebeste et al. 2021
AN1029,Transcription factor,Extebeste et al. 2021
AN10294,Transcription factor,Extebeste et al. 2021
AN10295,Transcription factor,Extebeste et al. 2021
AN10300,Transcription factor,Extebeste et al. 2021
AN10331,Transcription factor,Extebeste et al. 2021
AN10334,Transcription factor,Extebeste et al. 2021
AN10378,Transcription factor,Extebeste et al. 2021
AN10384,Transcription factor,Extebeste et al. 2021
AN10423,Transcription factor,Extebeste et al. 2021
AN10432,Transcription factor,Extebeste et al. 2021
AN10463,Transcription factor,Extebeste et al. 2021
AN10467,Transcription factor,Extebeste et al. 2021
AN10491,Transcription factor,Extebeste et al. 2021
AN10504,Transcription factor,Extebeste et al. 2021
AN10517,Transcription factor,Extebeste et al. 2021
AN1052,Transcription factor,Extebeste et al. 2021
AN10541,Transcription factor,Extebeste et al. 2021
AN10543,Transcription factor,Extebeste et al. 2021
AN10548,Transcription factor,Extebeste et al. 2021
AN10550,Transcription factor,Extebeste et al. 2021
AN10597,Transcription factor,Extebeste et al. 2021
AN10600,Transcription factor,Extebeste et al. 2021
AN10606,Transcription factor,Extebeste et al. 2021
AN10623,Transcription factor,Extebeste et al. 2021
AN10638,Transcription factor,Extebeste et al. 2021
AN10659,Transcription factor,Extebeste et al. 2021
AN10697,Transcription factor,Extebeste et al. 2021
AN10763,Transcription factor,Extebeste et al. 2021
AN1077,Transcription factor,Extebeste et al. 2021
AN10775,Transcription factor,Extebeste et al. 2021
AN10789,Transcription factor,Extebeste et al. 2021
AN10809,Transcription factor,Extebeste et al. 2021
AN10897,Transcription factor,Extebeste et al. 2021
AN10906,Transcription factor,Extebeste et al. 2021
AN10910,Transcription factor,Extebeste et al. 2021
AN10911,Transcription factor,Extebeste et al. 2021
AN10912,Transcription factor,Extebeste et al. 2021
AN10957,Transcription factor,Extebeste et al. 2021
AN10961,Transcription factor,Extebeste et al. 2021
AN10976,Transcription factor,Extebeste et al. 2021
AN10979,Transcription factor,Extebeste et al. 2021
AN11003,Transcription factor,Extebeste et al. 2021
AN11093,Transcription factor,Extebeste et al. 2021
AN11098,Transcription factor,Extebeste et al. 2021
AN11099,Transcription factor,Extebeste et al. 2021
AN11112,Transcription factor,Extebeste et al. 2021
AN1114,Transcription factor,Extebeste et al. 2021
AN11165,Transcription factor,Extebeste et al. 2021
AN11169,Transcription factor,Extebeste et al. 2021
AN11185,Transcription factor,Extebeste et al. 2021
AN11195,Transcription factor,Extebeste et al. 2021
AN11197,Transcription factor,Extebeste et al. 2021
AN11212,Transcription factor,Extebeste et al. 2021
AN11216,Transcription factor,Extebeste et al. 2021
AN11222,Transcription factor,Extebeste et al. 2021
AN11228,Transcription factor,Extebeste et al. 2021
AN1123,Transcription factor,Extebeste et al. 2021
AN1134,Transcription factor,Extebeste et al. 2021
AN11753,Transcription factor,Extebeste et al. 2021
AN11793,Transcription factor,Extebeste et al. 2021
AN11809,Transcription factor,Extebeste et al. 2021
AN11818,Transcription factor,Extebeste et al. 2021
AN1183,Transcription factor,Extebeste et al. 2021
AN11891,Transcription factor,Extebeste et al. 2021
AN11950,Transcription factor,Extebeste et al. 2021
AN11962,Transcription factor,Extebeste et al. 2021
AN1200,Transcription factor,Extebeste et al. 2021
AN12029,Transcription factor,Extebeste et al. 2021
AN1212,Transcription factor,Extebeste et al. 2021
AN12120,Transcription factor,Extebeste et al. 2021
AN12132,Transcription factor,Extebeste et al. 2021
AN12148,Transcription factor,Extebeste et al. 2021
AN1217,Transcription factor,Extebeste et al. 2021
AN12293,Transcription factor,Extebeste et al. 2021
AN12314,Transcription factor,Extebeste et al. 2021
AN1232,Transcription factor,Extebeste et al. 2021
AN12338,Transcription factor,Extebeste et al. 2021
AN12442,Transcription factor,Extebeste et al. 2021
AN12489,Transcription factor,Extebeste et al. 2021
AN1251,Transcription factor,Extebeste et al. 2021
AN1254,Transcription factor,Extebeste et al. 2021
AN1265,Transcription factor,Extebeste et al. 2021
AN1298,Transcription factor,Extebeste et al. 2021
AN13001,Transcription factor,Extebeste et al. 2021
AN1303,Transcription factor,Extebeste et al. 2021
AN1368,Transcription factor,Extebeste et al. 2021
AN1402,Transcription factor,Extebeste et al. 2021
AN1406,Transcription factor,Extebeste et al. 2021
AN1425,Transcription factor,Extebeste et al. 2021
AN1437,Transcription factor,Extebeste et al. 2021
AN1438,Transcription factor,Extebeste et al. 2021
AN1500,Transcription factor,Extebeste et al. 2021
AN1518,Transcription factor,Extebeste et al. 2021
AN1533,Transcription factor,Extebeste et al. 2021
AN1536,Transcription factor,Extebeste et al. 2021
AN1569,Transcription factor,Extebeste et al. 2021
AN1584,Transcription factor,Extebeste et al. 2021
AN1599,Transcription factor,Extebeste et al. 2021
AN1641,Transcription factor,Extebeste et al. 2021
AN1649,Transcription factor,Extebeste et al. 2021
AN1652,Transcription factor,Extebeste et al. 2021
AN1678,Transcription factor,Extebeste et al. 2021
AN1705,Transcription factor,Extebeste et al. 2021
AN1729,Transcription factor,Extebeste et al. 2021
AN1736,Transcription factor,Extebeste et al. 2021
AN1812,Transcription factor,Extebeste et al. 2021
AN1824,Transcription factor,Extebeste et al. 2021
AN1829,Transcription factor,Extebeste et al. 2021
AN1848,Transcription factor,Extebeste et al. 2021
AN1869,Transcription factor,Extebeste et al. 2021
AN1875,Transcription factor,Extebeste et al. 2021
AN1893,Transcription factor,Extebeste et al. 2021
AN1924,Transcription factor,Extebeste et al. 2021
AN1927,Transcription factor,Extebeste et al. 2021
AN1959,Transcription factor,Extebeste et al. 2021
AN1997,Transcription factor,Extebeste et al. 2021
AN2001,Transcription factor,Extebeste et al. 2021
AN2009,Transcription factor,Extebeste et al. 2021
AN2016,Transcription factor,Extebeste et al. 2021
AN2020,Transcription factor,Extebeste et al. 2021
AN2025,Transcription factor,Extebeste et al. 2021
AN2036,Transcription factor,Extebeste et al. 2021
AN2059,Transcription factor,Extebeste et al. 2021
AN2122,Transcription factor,Extebeste et al. 2021
AN2136,Transcription factor,Extebeste et al. 2021
AN2241,Transcription factor,Extebeste et al. 2021
AN2270,Transcription factor,Extebeste et al. 2021
AN2290,Transcription factor,Extebeste et al. 2021
AN2324,Transcription factor,Extebeste et al. 2021
AN2354,Transcription factor,Extebeste et al. 2021
AN2367,Transcription factor,Extebeste et al. 2021
AN2375,Transcription factor,Extebeste et al. 2021
AN2392,Transcription factor,Extebeste et al. 2021
AN2421,Transcription factor,Extebeste et al. 2021
AN2422,Transcription factor,Extebeste et al. 2021
AN2498,Transcription factor,Extebeste et al. 2021
AN2553,Transcription factor,Extebeste et al. 2021
AN2597,Transcription factor,Extebeste et al. 2021
AN2615,Transcription factor,Extebeste et al. 2021
AN2644,Transcription factor,Extebeste et al. 2021
AN2650,Transcription factor,Extebeste et al. 2021
AN2667,Transcription factor,Extebeste et al. 2021
AN2672,Transcription factor,Extebeste et al. 2021
AN2677,Transcription factor,Extebeste et al. 2021
AN2681,Transcription factor,Extebeste et al. 2021
AN2700,Transcription factor,Extebeste et al. 2021
AN2718,Transcription factor,Extebeste et al. 2021
AN2725,Transcription factor,Extebeste et al. 2021
AN2748,Transcription factor,Extebeste et al. 2021
AN2755,Transcription factor,Extebeste et al. 2021
AN2763,Transcription factor,Extebeste et al. 2021
AN2780,Transcription factor,Extebeste et al. 2021
AN2782,Transcription factor,Extebeste et al. 2021
AN2785,Transcription factor,Extebeste et al. 2021
AN2811,Transcription factor,Extebeste et al. 2021
AN2826,Transcription factor,Extebeste et al. 2021
AN2839,Transcription factor,Extebeste et al. 2021
AN2852,Transcription factor,Extebeste et al. 2021
AN2854,Transcription factor,Extebeste et al. 2021
AN2855,Transcription factor,Extebeste et al. 2021
AN2911,Transcription factor,Extebeste et al. 2021
AN2919,Transcription factor,Extebeste et al. 2021
AN2944,Transcription factor,Extebeste et al. 2021
AN2957,Transcription factor,Extebeste et al. 2021
AN2984,Transcription factor,Extebeste et al. 2021
AN3050,Transcription factor,Extebeste et al. 2021
AN3074,Transcription factor,Extebeste et al. 2021
AN3075,Transcription factor,Extebeste et al. 2021
AN3108,Transcription factor,Extebeste et al. 2021
AN3120,Transcription factor,Extebeste et al. 2021
AN3152,Transcription factor,Extebeste et al. 2021
AN3154,Transcription factor,Extebeste et al. 2021
AN3216,Transcription factor,Extebeste et al. 2021
AN3217,Transcription factor,Extebeste et al. 2021
AN3250,Transcription factor,Extebeste et al. 2021
AN3269,Transcription factor,Extebeste et al. 2021
AN3280,Transcription factor,Extebeste et al. 2021
AN3290,Transcription factor,Extebeste et al. 2021
AN3300,Transcription factor,Extebeste et al. 2021
AN3356,Transcription factor,Extebeste et al. 2021
AN3369,Transcription factor,Extebeste et al. 2021
AN3385,Transcription factor,Extebeste et al. 2021
AN3391,Transcription factor,Extebeste et al. 2021
AN3420,Transcription factor,Extebeste et al. 2021
AN3433,Transcription factor,Extebeste et al. 2021
AN3435,Transcription factor,Extebeste et al. 2021
AN3501,Transcription factor,Extebeste et al. 2021
AN3502,Transcription factor,Extebeste et al. 2021
AN3506,Transcription factor,Extebeste et al. 2021
AN3607,Transcription factor,Extebeste et al. 2021
AN3637,Transcription factor,Extebeste et al. 2021
AN3650,Transcription factor,Extebeste et al. 2021
AN3675,Transcription factor,Extebeste et al. 2021
AN3683,Transcription factor,Extebeste et al. 2021
AN3684,Transcription factor,Extebeste et al. 2021
AN3768,Transcription factor,Extebeste et al. 2021
AN3769,Transcription factor,Extebeste et al. 2021
AN3835,Transcription factor,Extebeste et al. 2021
AN3863,Transcription factor,Extebeste et al. 2021
AN3868,Transcription factor,Extebeste et al. 2021
AN3900,Transcription factor,Extebeste et al. 2021
AN3911,Transcription factor,Extebeste et al. 2021
AN3986,Transcription factor,Extebeste et al. 2021
AN4001,Transcription factor,Extebeste et al. 2021
AN4013,Transcription factor,Extebeste et al. 2021
AN4021,Transcription factor,Extebeste et al. 2021
AN4026,Transcription factor,Extebeste et al. 2021
AN4034,Transcription factor,Extebeste et al. 2021
AN4035,Transcription factor,Extebeste et al. 2021
AN4096,Transcription factor,Extebeste et al. 2021
AN4118,Transcription factor,Extebeste et al. 2021
AN4123,Transcription factor,Extebeste et al. 2021
AN4175,Transcription factor,Extebeste et al. 2021
AN4181,Transcription factor,Extebeste et al. 2021
AN4185,Transcription factor,Extebeste et al. 2021
AN4247,Transcription factor,Extebeste et al. 2021
AN4263,Transcription factor,Extebeste et al. 2021
AN4324,Transcription factor,Extebeste et al. 2021
AN4343,Transcription factor,Extebeste et al. 2021
AN4361,Transcription factor,Extebeste et al. 2021
AN4394,Transcription factor,Extebeste et al. 2021
AN4418,Transcription factor,Extebeste et al. 2021
AN4486,Transcription factor,Extebeste et al. 2021
AN4489,Transcription factor,Extebeste et al. 2021
AN4521,Transcription factor,Extebeste et al. 2021
AN4524,Transcription factor,Extebeste et al. 2021
AN4527,Transcription factor,Extebeste et al. 2021
AN4542,Transcription factor,Extebeste et al. 2021
AN4558,Transcription factor,Extebeste et al. 2021
AN4562,Transcription factor,Extebeste et al. 2021
AN4586,Transcription factor,Extebeste et al. 2021
AN4606,Transcription factor,Extebeste et al. 2021
AN4618,Transcription factor,Extebeste et al. 2021
AN4626,Transcription factor,Extebeste et al. 2021
AN4720,Transcription factor,Extebeste et al. 2021
AN4734,Transcription factor,Extebeste et al. 2021
AN4744,Transcription factor,Extebeste et al. 2021
AN4773,Transcription factor,Extebeste et al. 2021
AN4785,Transcription factor,Extebeste et al. 2021
AN4797,Transcription factor,Extebeste et al. 2021
AN4801,Transcription factor,Extebeste et al. 2021
AN4821,Transcription factor,Extebeste et al. 2021
AN4837,Transcription factor,Extebeste et al. 2021
AN4873,Transcription factor,Extebeste et al. 2021
AN4900,Transcription factor,Extebeste et al. 2021
AN4933,Transcription factor,Extebeste et al. 2021
AN4972,Transcription factor,Extebeste et al. 2021
AN4985,Transcription factor,Extebeste et al. 2021
AN5003,Transcription factor,Extebeste et al. 2021
AN5040,Transcription factor,Extebeste et al. 2021
AN5048,Transcription factor,Extebeste et al. 2021
AN5052,Transcription factor,Extebeste et al. 2021
AN5070,Transcription factor,Extebeste et al. 2021
AN5078,Transcription factor,Extebeste et al. 2021
AN5118,Transcription factor,Extebeste et al. 2021
AN5170,Transcription factor,Extebeste et al. 2021
AN5182,Transcription factor,Extebeste et al. 2021
AN5218,Transcription factor,Extebeste et al. 2021
AN5220,Transcription factor,Extebeste et al. 2021
AN5225,Transcription factor,Extebeste et al. 2021
AN5252,Transcription factor,Extebeste et al. 2021
AN5259,Transcription factor,Extebeste et al. 2021
AN5274,Transcription factor,Extebeste et al. 2021
AN5279,Transcription factor,Extebeste et al. 2021
AN5294,Transcription factor,Extebeste et al. 2021
AN5299,Transcription factor,Extebeste et al. 2021
AN5342,Transcription factor,Extebeste et al. 2021
AN5349,Transcription factor,Extebeste et al. 2021
AN5390,Transcription factor,Extebeste et al. 2021
AN5405,Transcription factor,Extebeste et al. 2021
AN5412,Transcription factor,Extebeste et al. 2021
AN5431,Transcription factor,Extebeste et al. 2021
AN5464,Transcription factor,Extebeste et al. 2021
AN5510,Transcription factor,Extebeste et al. 2021
AN5533,Transcription factor,Extebeste et al. 2021
AN5555,Transcription factor,Extebeste et al. 2021
AN5583,Transcription factor,Extebeste et al. 2021
AN5609,Transcription factor,Extebeste et al. 2021
AN5651,Transcription factor,Extebeste et al. 2021
AN5659,Transcription factor,Extebeste et al. 2021
AN5691,Transcription factor,Extebeste et al. 2021
AN5726,Transcription factor,Extebeste et al. 2021
AN5775,Transcription factor,Extebeste et al. 2021
AN5808,Transcription factor,Extebeste et al. 2021
AN5836,Transcription factor,Extebeste et al. 2021
AN5849,Transcription factor,Extebeste et al. 2021
AN5859,Transcription factor,Extebeste et al. 2021
AN5870,Transcription factor,Extebeste et al. 2021
AN5924,Transcription factor,Extebeste et al. 2021
AN5929,Transcription factor,Extebeste et al. 2021
AN5955,Transcription factor,Extebeste et al. 2021
AN5966,Transcription factor,Extebeste et al. 2021
AN6030,Transcription factor,Extebeste et al. 2021
AN6062,Transcription factor,Extebeste et al. 2021
AN6091,Transcription factor,Extebeste et al. 2021
AN6129,Transcription factor,Extebeste et al. 2021
AN6154,Transcription factor,Extebeste et al. 2021
AN6173,Transcription factor,Extebeste et al. 2021
AN6195,Transcription factor,Extebeste et al. 2021
AN6218,Transcription factor,Extebeste et al. 2021
AN6221,Transcription factor,Extebeste et al. 2021
AN6293,Transcription factor,Extebeste et al. 2021
AN6295,Transcription factor,Extebeste et al. 2021
AN6315,Transcription factor,Extebeste et al. 2021
AN6322,Transcription factor,Extebeste et al. 2021
AN6392,Transcription factor,Extebeste et al. 2021
AN6396,Transcription factor,Extebeste et al. 2021
AN6430,Transcription factor,Extebeste et al. 2021
AN6440,Transcription factor,Extebeste et al. 2021
AN6446,Transcription factor,Extebeste et al. 2021
AN6492,Transcription factor,Extebeste et al. 2021
AN6503,Transcription factor,Extebeste et al. 2021
AN6575,Transcription factor,Extebeste et al. 2021
AN6578,Transcription factor,Extebeste et al. 2021
AN6667,Transcription factor,Extebeste et al. 2021
AN6684,Transcription factor,Extebeste et al. 2021
AN6715,Transcription factor,Extebeste et al. 2021
AN6733,Transcription factor,Extebeste et al. 2021
AN6747,Transcription factor,Extebeste et al. 2021
AN6759,Transcription factor,Extebeste et al. 2021
AN6762,Transcription factor,Extebeste et al. 2021
AN6788,Transcription factor,Extebeste et al. 2021
AN6790,Transcription factor,Extebeste et al. 2021
AN6832,Transcription factor,Extebeste et al. 2021
AN6837,Transcription factor,Extebeste et al. 2021
AN6846,Transcription factor,Extebeste et al. 2021
AN6849,Transcription factor,Extebeste et al. 2021
AN6858,Transcription factor,Extebeste et al. 2021
AN6884,Transcription factor,Extebeste et al. 2021
AN6889,Transcription factor,Extebeste et al. 2021
AN6917,Transcription factor,Extebeste et al. 2021
AN7012,Transcription factor,Extebeste et al. 2021
AN7050,Transcription factor,Extebeste et al. 2021
AN7061,Transcription factor,Extebeste et al. 2021
AN7072,Transcription factor,Extebeste et al. 2021
AN7073,Transcription factor,Extebeste et al. 2021
AN7076,Transcription factor,Extebeste et al. 2021
AN7118,Transcription factor,Extebeste et al. 2021
AN7170,Transcription factor,Extebeste et al. 2021
AN7174,Transcription factor,Extebeste et al. 2021
AN7189,Transcription factor,Extebeste et al. 2021
AN7190,Transcription factor,Extebeste et al. 2021
AN7223,Transcription factor,Extebeste et al. 2021
AN7330,Transcription factor,Extebeste et al. 2021
AN7332,Transcription factor,Extebeste et al. 2021
AN7343,Transcription factor,Extebeste et al. 2021
AN7346,Transcription factor,Extebeste et al. 2021
AN7376,Transcription factor,Extebeste et al. 2021
AN7379,Transcription factor,Extebeste et al. 2021
AN7434,Transcription factor,Extebeste et al. 2021
AN7468,Transcription factor,Extebeste et al. 2021
AN7507,Transcription factor,Extebeste et al. 2021
AN7508,Transcription factor,Extebeste et al. 2021
AN7513,Transcription factor,Extebeste et al. 2021
AN7542,Transcription factor,Extebeste et al. 2021
AN7545,Transcription factor,Extebeste et al. 2021
AN7553,Transcription factor,Extebeste et al. 2021
AN7580,Transcription factor,Extebeste et al. 2021
AN7584,Transcription factor,Extebeste et al. 2021
AN7592,Transcription factor,Extebeste et al. 2021
AN7596,Transcription factor,Extebeste et al. 2021
AN7610,Transcription factor,Extebeste et al. 2021
AN7661,Transcription factor,Extebeste et al. 2021
AN7734,Transcription factor,Extebeste et al. 2021
AN7776,Transcription factor,Extebeste et al. 2021
AN7788,Transcription factor,Extebeste et al. 2021
AN7820,Transcription factor,Extebeste et al. 2021
AN7867,Transcription factor,Extebeste et al. 2021
AN7872,Transcription factor,Extebeste et al. 2021
AN7896,Transcription factor,Extebeste et al. 2021
AN7913,Transcription factor,Extebeste et al. 2021
AN7919,Transcription factor,Extebeste et al. 2021
AN7921,Transcription factor,Extebeste et al. 2021
AN7923,Transcription factor,Extebeste et al. 2021
AN7942,Transcription factor,Extebeste et al. 2021
