name,selected,shared.name,symbol,moduleColor,Abs.GS.flux.,MM.darkred,node_type,source
AN3184,false,AN3184,AN3184,blue,0.428321978,0.360658405,Target,NA
AN3185,false,AN3185,arp11,blue,0.2813285,0.03637369,Target,NA
AN3186,false,AN3186,AN3186,white,0.3940524,0.5063852,Target,NA
AN3187,false,AN3187,AN3187,blue,0.354421306,0.385195835,Target,NA
AN3188,false,AN3188,AN3188,cyan,0.5566246,-0.7139807,Target,NA
AN3190,false,AN3190,AN3190,turquoise,0.2068446,-0.04402163,Target,NA
AN3191,false,AN3191,AN3191,cyan,0.4030943,-0.7381418,Target,NA
AN3193,false,AN3193,AN3193,darkorange,0.1387747,-0.2531466,Target,NA
AN3194,false,AN3194,AN3194,NA,NA,NA,NA,NA
AN3195,false,AN3195,AN3195,NA,NA,NA,NA,NA
AN3196,false,AN3196,urhA,darkmagenta,0.02452805,0.2166525,Target,NA
AN3197,false,AN3197,AN3197,greenyellow,0.08675004,0.09704363,Target,NA
AN3198,false,AN3198,AN3198,darkturquoise,0.1720666,0.3462367,Target,NA
AN3199,false,AN3199,lacpA,NA,NA,NA,NA,NA
AN3200,false,AN3200,AN3200,cyan,0.4782014,-0.7053229,Target,NA
AN3201,false,AN3201,lacD,NA,NA,NA,NA,NA
AN3203,false,AN3203,AN3203,darkgrey,0.273774,-0.5790011,Target,NA
AN3204,false,AN3204,AN3204,darkmagenta,0.21536,0.3588844,Target,NA
AN3205,false,AN3205,AN3205,NA,NA,NA,NA,NA
AN3206,false,AN3206,AN3206,black,0.134975403,-0.386037371,Target,NA
AN3207,false,AN3207,AN3207,steelblue,0.02670623,-0.3101463,Target,NA
AN3208,false,AN3208,AN3208,NA,NA,NA,NA,NA
AN3209,false,AN3209,AN3209,NA,NA,NA,NA,NA
AN3210,false,AN3210,AN3210,NA,NA,NA,NA,NA
AN3211,false,AN3211,AN3211,NA,NA,NA,NA,NA
AN3212,false,AN3212,AN3212,NA,NA,NA,NA,NA
AN3213,false,AN3213,bnfA,darkgreen,0.4106455,0.6439478,Target,NA
AN3214,false,AN3214,hk-8-5,darkgreen,0.007399406,0.2194445,Kinase,De Souza et al. 2013 PLoS One
AN3215,false,AN3215,AN3215,blue,0.54156814,0.569891794,Target,NA
AN3216,false,AN3216,AN3216,brown,0.4239608,0.5033265,Transcription factor,Extebeste et al. 2021
AN3217,false,AN3217,AN3217,black,0.074627565,-0.078612968,Transcription factor,Extebeste et al. 2021
AN3218,false,AN3218,AN3218,green,0.4570035,0.6539027,Target,NA
AN3220,false,AN3220,AN3220,brown,0.1902459,0.2006019,Target,NA
AN3221,false,AN3221,AN3221,darkred,0.3342676,0.5706282,Target,NA
AN3222,false,AN3222,AN3222,darkturquoise,0.2505758,0.03932465,Target,NA
AN3223,false,AN3223,pfkA,darkturquoise,0.291225,0.0486191,Target,NA
AN3224,false,AN3224,srb4,green,0.1424807,-0.1219832,Target,NA
AN3225,false,AN3225,CYP631B1,violet,0.02450899,0.1430174,Target,NA
AN3226,false,AN3226,pkfC,darkmagenta,0.4017855,0.6287865,Target,NA
AN3227,false,AN3227,pkfD,NA,NA,NA,NA,NA
AN3228,false,AN3228,pkfE,NA,NA,NA,NA,NA
AN3229,false,AN3229,pkfF,violet,0.08283097,-0.05591041,Target,NA
AN3230,false,AN3230,pkfA,violet,0.1266183,-0.07002526,Target,NA
AN3231,false,AN3231,AN3231,turquoise,0.03143075,-0.08248793,Target,NA
AN3232,false,AN3232,AN3232,darkturquoise,0.06368334,0.3351593,Target,NA
AN3233,false,AN3233,AN3233,NA,NA,NA,NA,NA
AN3234,false,AN3234,AN3234,NA,NA,NA,NA,NA
